acc_type,baseline_group,baseline_k,baseline_n,condition_group,condition_k,condition_n,z,p_two_sided
incorrect,baseline L1,334,1002,meta L6,436,1002,-4.6843,2.80898e-06
idk,baseline L1,334,1002,meta L6,32,1002,17.4606,0
correct,baseline L1,334,1002,meta L6,531,1002,-8.8847,0
incorrect,baseline L1,334,1002,semantic L6,322,1002,0.5713,0.567824
idk,baseline L1,334,1002,semantic L6,85,1002,13.6781,0
correct,baseline L1,334,1002,semantic L6,595,1002,-11.6917,0
incorrect,baseline L1,334,1002,underspecified L6,352,1002,-0.8474,0.396758
idk,baseline L1,334,1002,underspecified L6,83,1002,13.8123,0
correct,baseline L1,334,1002,underspecified L6,566,1002,-10.4191,0
incorrect,baseline L1,334,1002,misleading L6,353,1002,-0.8942,0.371219
idk,baseline L1,334,1002,misleading L6,182,1002,7.7654,8.21565e-15
correct,baseline L1,334,1002,misleading L6,466,1002,-6.0209,1.73403e-09
