boolq_id,pred_L1,pred_L3,pred_L6,pred_L9,pred_L12,comp_L1,comp_L3,comp_L6,comp_L9,comp_L12,corr_L1,corr_L3,corr_L6,corr_L9,corr_L12
dev_0001,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
dev_0002,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
dev_0003,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
dev_0004,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev_0005,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev_0006,False,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev_0007,False,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
dev_0008,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev_0009,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev_0010,False,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
dev_0011,,True,False,False,False,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
dev_0012,,False,False,False,False,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
dev_0013,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
dev_0014,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev_0015,True,True,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
dev_0016,False,False,True,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
dev_0017,False,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
dev_0018,,False,False,False,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
dev_0019,,False,False,False,False,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0
dev_0020,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
